Ligand,smiles,MW,Vol,Dense,nHA,nHD,TPSA,nRot,nRing,MaxRing,nHet,fChar,nRig,Flex,nStereo,gasa,QED,Synth,Fsp3,MCE-18,Natural Product-likeness,Alarm_NMR,BMS,Chelating,PAINS,Lipinski,Pfizer,GSK,GoldenTriangle,logS,logD,logP,mp,bp,pka_acidic,pka_basic,caco2,MDCK,PAMPA,pgp_inh,pgp_sub,hia,f20,f30,f50,OATP1B1,OATP1B3,BCRP,BSEP,BBB,MRP1,PPB,logVDss,Fu,CYP1A2-inh,CYP1A2-sub,CYP2C19-inh,CYP2C19-sub,CYP2C9-inh,CYP2C9-sub,CYP2D6-inh,CYP2D6-sub,CYP3A4-inh,CYP3A4-sub,CYP2B6-inh,CYP2B6-sub,CYP2C8-inh,HLM-Stabiliy,cl-plasma,t0.5,BCF,IGC50,LC50DM,LC50FM,hERG,hERG-10um,DILI,Ames,ROA,FDAMDD,SkinSen,Carcinogenicity,EC,EI,Respiratory,H-HT,Neurotoxicity-DI,Ototoxicity,Hematotoxicity,Nephrotoxicity-DI,Genotoxicity,RPMI-8226,A549,HEK293,NR-AhR,NR-AR,NR-AR-LBD,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,NonBiodegradable,NonGenotoxic_Carcinogenicity,SureChEMBL,LD50_oral,Skin_Sensitization,Acute_Aquatic_Toxicity,FAF-Drugs4 Rule,Genotoxic_Carcinogenicity_Mutagenicity,Aggregators,Fluc,Blue_fluorescence,Green_fluorescence,Reactive,Other_assay_interference,Promiscuous,Ghose,Veber,Egan,Muegge,log Kp,Brenk,Leadlikeness,Bandgap
1,Cc1nn(C(=O)c2ccc(Cl)cc2)c2c1C1C(C2)C1(C)C,300.1,298.5384345,1.005230702,3,0,34.89,2,4,9,4,0,18,0.111111111,2,1,0.802,3.309,0.412,80,-0.671,0,0,0,0,0,1,1,0,-4.732505162,3.848184389,4.073580485,98.62669943,305.023602,9.782070348,5.05695087,-4.820278722,-4.630453618,0.029680554,0.97990799,0.005003127,1.66E-05,0.00241816,0.020430028,0.33341229,0.997012258,0.985469043,0.007978705,0.999945879,0.913404286,0.94853282,97.84497459,0.085279174,1.660790845,0.071100071,0.084794782,0.97905755,0.943328381,0.975854695,0.735553026,0.118042551,0.010737001,0.625011683,0.968705475,0.035201468,0.008444058,0.979166329,0.176850513,6.980173448,0.409252005,2.420839811,4.752113745,6.522315932,6.172902332,0.314788371,0.736121774,0.597158492,0.419031471,0.627563715,0.752943158,0.226908222,0.726672471,3.21E-05,0.112661675,0.618079364,0.638857901,0.716663241,0.825527728,0.262729347,0.406447679,0.641573071,0.0471511,0.253720254,0.726157486,0.115662895,0.061845683,0.004048693,0.306077182,0.265734136,0.185217485,0.027050918,0.314099282,0.018027846,0.299527258,0.627449512,0.056269486,1,7,0,0,4,2,4,0,0.41,0.13,0.042,0.365,0.025,0.215,0.431,0,0,0,0,-5.2,0,1,4.4
2,Cc1ccc(C2=NC3(CCN(CC(=O)Nc4ccc(Cl)cc4)CC3)NC2=O)cc1,410.15,407.8927319,1.005533975,6,2,73.8,5,4,6,7,0,25,0.2,0,0,0.813,2.783,0.318,76.931,-1.485,0,0,0,0,0,1,1,0,-4.158071865,3.183834423,3.190275759,167.2408753,314.7853893,8.726873694,6.573947298,-4.919178447,-4.52122823,0.04985306,0.998411775,0.461652398,0.000668347,0.29005003,0.06612438,0.998348219,0.98878026,0.74282825,0.001763565,0.999999881,0.994961739,0.744955361,98.15023877,0.019009546,1.622811764,0.006673772,0.985127985,0.963610172,0.874311507,0.664356411,9.66E-10,0.582738101,3.10E-13,0.000765642,1,0.999792278,3.92E-20,0.933689356,0.009880671,2.751215273,1.043504158,0.949312689,3.517347824,5.335247711,4.460378592,0.933478951,0.761535525,0.25921309,0.277201027,0.667930901,0.492876023,0.93757385,0.22036162,1.34E-05,0.011821568,0.919899344,0.661335051,0.942432761,0.271074057,0.317251772,0.974462271,0.998193443,0.024395417,0.056220327,0.767534912,0.007844131,7.34E-06,1.55E-05,9.18E-06,0.064349949,6.22E-06,7.02E-06,0.037161499,0.000149179,0.002375351,0.001880936,0.026737448,1,7,0,0,10,2,7,2,0.584,0.001,0.247,0.836,0.001,0.121,0.059,0,0,0,0,-6.58,0,1,4.2
3,C=CCC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=CC21C,310.19,341.944472,0.907135589,2,1,37.3,2,4,17,2,0,22,0.090909091,4,1,0.773,4.561,0.571,62.545,2.278,5,0,0,0,0,1,0,0,-3.809306803,3.220700147,3.395855679,114.8937389,271.3423717,9.022081717,6.757102303,-4.605322028,-4.596192507,0.031391054,0.918766677,0.026901342,0.009176135,0.029952288,0.101264954,0.078334749,0.004587514,0.009431499,0.269292772,0.973978639,0.464424491,0.699562192,95.67140638,0.159144782,3.743534672,0.002545025,0.74238497,0.770070612,0.976990759,0.019148542,0.881220341,0.050687212,0.941165388,0.290132701,0.617418587,0.000586642,0.99427408,0.991140068,0.872576475,9.381715701,1.157763768,0.7159125,3.45525145,5.090073803,4.311600702,0.159952059,0.534868479,0.22987324,0.259172201,0.504636884,0.879072726,0.178664848,0.638445258,0.001079583,0.254487425,0.849483252,0.63005209,0.666119933,0.665195644,0.138172343,0.073879741,0.568970084,0.057124719,0.124365263,0.366567224,0.00248867,0.987249196,0.29657644,0.065123834,0.982845068,0.651979268,8.28E-05,0.449580282,0.000801345,0.00898095,0.043326728,0.003849383,4,4,0,0,7,8,5,5,0.17,0.001,0.088,0.14,0.595,0.289,0.052,0,0,0,0,-6.19,1,0,3.9
4,O=C(NC1CCC1)NC1C(O)COC1Cn1cc(CN2CCOCC2)nn1,380.22,361.5944665,1.051509454,10,3,113.77,8,4,6,10,0,21,0.380952381,3,0,0.585,3.763,0.824,75.484,-1.289,0,0,0,0,0,0,0,0,-1.68107382,0.471877046,-0.0881913,154.1124405,310.0506395,7.623244052,4.565476516,-5.389884697,-5.040376694,0.936319828,0.000625658,0.443350852,0.088848948,0.035782099,0.479459345,0.702631861,0.244452342,0.222600996,0.005112011,0.311703056,0.454293758,0.119903199,23.27903637,-0.240405756,78.65466967,5.02E-07,3.84E-09,0.012911074,0.999853492,9.71E-05,0.361945629,0.005099342,0.844020486,0.02925472,0.051388428,0.001757821,9.00E-06,0.992189288,0.976412952,3.759216834,1.677869653,0.306453658,2.860447801,4.338634907,3.389613135,0.205872387,0.200662896,0.813016534,0.400837004,0.27120918,0.245177016,0.718326211,0.400041044,9.34E-07,0.031249911,0.300826043,0.617363334,0.664852321,0.695366919,0.187703207,0.677339256,0.960477948,0.124219567,0.020533705,0.183094472,0.008983484,0.003920041,0.000484553,0.003574981,0.401431769,0.007352171,1.97E-05,0.180845439,0.030013377,0.032721169,0.016956234,0.003378022,3,0,0,0,0,0,0,0,0.061,0,0.008,0.238,0.003,0.555,0,1,0,0,0,-9.81,0,2,5.4
5,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)COC(=O)CCC(=O)NCc1ccccn1,550.27,561.7466855,0.979569643,9,2,139.73,10,5,17,9,0,31,0.322580645,6,1,0.471,4.355,0.613,119.68,0.608,5,0,0,15,0,0,1,1,-3.687572277,2.301804886,1.932907303,174.9479922,284.1526895,6.882953607,5.077543264,-5.091892225,-4.84907199,0.637128651,0.004999131,0.000136868,0.221615553,0.870536178,0.993545715,0.938740909,0.079440042,0.977922201,5.48E-09,0.99753654,0.874139488,0.507290602,96.93402793,-0.253076155,3.399577071,1.81E-11,0.005346622,3.58E-07,0.988430381,1.50E-07,1.37E-06,2.28E-13,8.69E-11,1.01E-05,0.999713242,1.59E-12,5.92E-14,0.057827454,0.003538685,9.264020007,0.636233622,0.599976999,3.448586523,5.198611824,4.479194104,0.247354493,0.261351466,0.227309778,0.389479131,0.205209732,0.879686892,0.225957349,0.490672171,7.36E-09,0.000501885,0.155484527,0.744674146,0.486554712,0.645574331,0.096342228,0.268075079,0.984660447,0.154162839,0.006913332,0.361832768,1.28E-05,0.860171735,0.00869978,5.58E-05,0.060257003,3.87E-06,1.66E-05,0.015553355,4.67E-05,3.62E-07,5.98E-06,0.000273689,5,4,0,0,12,5,7,5,0.008,0,0.015,0.372,0,0.323,0.051,3,0,1,0,-8.42,0,2,4.8
6,Oc1ccc(CCC2CCC(O)C(O)(c3ccc(O)cc3)O2)cc1,330.15,339.6431824,0.972049542,5,4,90.15,4,3,6,5,0,18,0.222222222,3,1,0.691,3.512,0.368,60.923,1.241,7,0,0,0,0,0,0,0,-2.995167854,2.087941346,1.939121577,157.0986741,317.8034288,8.500893855,6.748766331,-4.9065162,-4.737833459,0.906598806,0.000246769,0.63748312,0.000831246,0.367710531,0.789144203,0.997191956,0.793135524,0.929142118,0.425689965,0.348929882,0.00392165,0.683416307,78.36872674,0.623689982,23.55668664,0.000173729,0.010426885,0.000304229,0.053678941,0.000477632,0.233415633,0.001697231,0.982562542,0.742028534,0.083589129,0.001647602,8.77E-06,0.212349519,0.078285202,14.00443495,1.673333368,1.363927833,3.756981711,4.694569724,4.361917395,0.484000087,0.781555772,0.010691891,0.368429244,0.197989047,0.830424786,0.640052378,0.146049365,0.000180899,0.330349445,0.460185796,0.501685262,0.475848258,0.606324553,0.034937885,0.145825148,0.38400799,0.045316342,0.488212973,0.926231682,0.010983326,0.004293611,0.000439214,0.081680492,0.986430407,0.924198389,0.002137026,0.658034503,0.010118059,0.007887349,0.982785404,0.011197201,3,0,0,0,5,6,8,0,0.021,0.295,0.011,0.145,0.511,0.566,0.143,0,0,0,0,-6.63,0,0,5.6
7,CC(=O)c1c(O)c(C)c(O)c2c1OC1=CC(=O)C(=C(C)NCC3CCCO3)C(=O)C12C,427.16,423.574961,1.008463765,8,3,122.16,4,4,13,8,0,24,0.166666667,2,1,0.38,4.204,0.435,92.485,1.274,12,0,0,0,0,0,1,0,-3.928274443,2.684979588,2.520943099,179.459,296.1418738,6.403262031,4.081082283,-5.316604368,-5.006401541,0.944111168,0.03531101,0.723279595,0.004222631,0.022201777,0.108902693,0.797998458,0.534403563,0.173265144,0.004630764,0.567972064,0.044809315,0.997232616,95.26786295,0.053719246,4.377009796,0.787751496,0.993447721,0.063551441,0.006428538,0.002158582,0.004630848,3.65E-05,0.162817672,0.001111713,0.055594135,0.098661944,5.33E-05,0.03446234,0.871391296,1.31435396,1.132066428,1.252129054,3.966859904,5.43730594,4.896946698,0.03117789,0.27273491,0.516737044,0.544511437,0.459615797,0.356803477,0.790734649,0.405959249,0.000540593,0.774990618,0.693000555,0.587649941,0.126068324,0.362373918,0.481980801,0.383909136,0.94694531,0.095406823,0.461988449,0.321874112,0.213750854,0.000803852,0.000120184,0.027890464,0.090594716,0.001749048,0.00159491,0.923635185,0.009852894,0.043567825,0.937921941,0.475172728,8,4,11,0,12,5,10,5,0.056,0.533,0.535,0.699,0.001,0.971,0.128,0,0,0,0,-5.7,2,2,4.2
8,NCCNC(=O)c1ccccn1,165.09,169.6025547,0.973393356,4,3,68.01,4,1,6,4,0,7,0.571428571,0,0,0.65,1.828,0.25,5,-1.49,0,0,0,0,0,0,0,1,0.144224001,-0.664888823,-0.942978841,129.5986123,250.307065,9.70912072,7.80861466,-5.78192691,-5.666518883,0.319600195,0.013685228,0.962335467,0.027456045,0.011685848,0.013373196,0.146331131,0.196797892,0.283460259,0.019249188,0.056893814,0.399934441,0.364350021,22.65400684,0.191324061,73.49340883,0.553108633,1.73E-05,0.000125059,0.100038603,4.95E-07,0.002718855,0.000475075,0.455262065,0.021569179,0.007739638,7.56E-07,8.61E-08,0.015624437,0.006922807,8.589222923,1.686517776,0.177921305,2.246165612,3.631609007,2.519027476,0.356306165,0.436954826,0.342610359,0.689201236,0.321343511,0.218064994,0.782576919,0.347643703,0.007648722,0.903423429,0.620915413,0.516241133,0.741841793,0.304143161,0.340544313,0.3396433,0.937002003,0.058980893,0.040657174,0.102920592,0.008840855,0.00463617,0.002810935,0.000232776,0.071620949,0.00247072,0.001171752,0.346834064,0.000703184,0.000673276,0.003796159,0.00956004,1,0,0,0,0,0,0,0,0.067,0,0.008,0.296,0.026,0.764,0.23,0,0,0,1,-7.44,0,1,5
9,O=C(C1Cc2[nH]cnc2CN1Cc1ccc(Cl)cc1)N1CCC(Cc2ccccc2)CC1,448.2,459.7299869,0.97492009,5,1,52.23,6,5,9,6,0,29,0.206896552,1,0,0.626,3.034,0.385,86.111,-1.058,0,0,0,0,0,1,1,0,-3.903452533,3.261602369,3.493276101,139.9464433,304.5603563,9.421520017,7.377820136,-5.427767189,-4.81662507,0.000658668,0.989432096,0.493155062,0.001395285,0.000968814,0.020460129,0.01917094,0.114965998,0.035292182,0.018283816,0.999996901,0.968772769,0.960524023,98.79698357,0.182160255,0.965061939,0.513926506,2.42E-05,0.999670267,0.44347927,0.529568553,0.012952464,0.911545932,0.024750739,0.997511268,0.799389303,0.115789905,0.000624448,0.999092937,0.760932326,5.641884544,0.56238696,1.667976475,4.079968673,5.438781474,4.956443842,0.95544517,0.883217394,0.163515747,0.12695922,0.367160022,0.842868209,0.211290196,0.070028402,1.58E-10,7.14E-05,0.598891675,0.745746434,0.856281161,0.963524282,0.041853521,0.206683487,0.616216242,0.012602305,0.206709146,0.970576942,0.000672799,0.000524178,2.99E-05,0.008689416,0.076432519,5.82E-05,1.08E-05,0.479764521,2.67E-06,0.180295706,0.000969606,0.0046324,1,7,0,0,0,2,0,0,0.377,0.001,0.006,0.612,0.001,0.274,0.001,1,0,0,0,-5.92,0,2,5.1
10,O=C(O)c1ccc(CN2CCN3C(=O)N(C4CCCCC4)CC3C2)cc1,357.21,366.4289955,0.974840977,6,1,64.09,4,4,9,6,0,24,0.166666667,1,0,0.9,2.738,0.6,77.438,-0.828,0,0,0,0,0,0,0,0,-2.598310211,1.824830397,1.459460052,211.9480208,306.2325501,5.097352377,6.376112108,-4.983516901,-4.685774564,0.190681502,0.303345799,0.891850054,0.1620031,0.027696013,0.102645338,0.036581755,0.020266352,0.036963906,0.005740748,0.889409781,0.06655556,0.998386145,93.83786436,-0.445721515,8.652722842,7.86E-06,0.146371335,0.016206719,0.991338491,0.000104532,0.016534626,0.052696001,0.00056036,0.000100253,0.947847009,8.64E-06,0.004220894,0.001313288,0.002527141,1.722783948,1.180532986,0.192686808,2.928644069,4.248478715,3.408854,0.66252017,0.162255391,0.51237309,0.234960318,0.283499151,0.716995239,0.457895309,0.188325465,0.000485135,0.032698385,0.857465148,0.810601473,0.901838124,0.803389728,0.427883923,0.911530077,0.603996217,0.05536012,0.028566882,0.273088247,0.000461818,0.132654637,1.33E-05,0.111166194,0.09144222,0.002690058,0.06654273,0.822978139,0.081597984,0.362338632,0.064534672,0.002546722,0,0,0,0,0,0,12,0,0.016,0.001,0.108,0.348,0.001,0.773,0,0,0,0,0,-8.52,0,1,4.4
