Drug name	cl-plasma	t0.5
Acarbose	0.285088397	3.454576788
Alogliptin	4.938886246	1.034178084
Atorvastatin	5.841891074	0.950569785
Bexagliflozin	4.428196485	1.457555989
Bromocriptine	10.54217866	0.863896439
Canagliflozin	3.50883233	2.791351841
Chlorpropamide	-0.059159838	1.022192863
Dapagliflozin	4.349078051	3.189724272
Empagliflozin	4.618632599	1.378693317
Ertugliflozin	4.30887	2.589838586
Finerenone	3.509360591	1.317797217
Gemigliptin	4.725228738	1.374249106
Gliclazide	0.07320957	1.127879456
Glimepiride	0.30154308	1.000889625
Glipizide	-0.005851082	1.048436103
Gliquidone	0.201896151	0.87084787
Glyburide	0.213460296	1.145666325
Linagliptin	3.226077296	1.202100618
Lipoic acid	10.11958072	1.713923881
Losartan	4.542694528	0.796538089
Luseogliflozin	5.497439566	2.064894366
Metformin	6.950926511	1.57381736
Miglitol	3.426035305	1.995511095
Mitiglinide	3.943947444	0.517278706
Nateglinide	1.327493288	1.214616042
Pioglitazone	7.710389332	0.753237139
Repaglinide	4.163450207	0.470154872
Rosiglitazone	7.234904405	0.951154631
Saxagliptin	6.055489674	1.729668049
Simvastatin	8.928665814	0.698194531
Sitagliptin	6.518833974	0.714562083
Sotagliflozin	3.706128186	1.995236124
Teneligliptin	6.128449827	0.475854649
Tolazamide	-0.007137386	1.09889037
Tolbutamide	-0.066469997	1.028246815
Topiramate	7.17994997	2.403674768
Trelagliptin	5.213801285	0.971786555
Valsartan	0.169268165	1.264717326
Vildagliptin	8.827003634	1.037439173
Voglibose	2.248711644	2.23721557
